start_x,start_y,goal_x,goal_y,path_length
-0.18,-0.9135,-0.6184,-0.9627,0.4412
0.7325,-0.785,-0.2703,-0.9226,1.013
-0.2703,-0.9226,-0.6184,-0.9627,0.3504
0.7325,-0.785,-0.6184,-0.9627,1.3634
0.6625,1.7871,-0.0968,0.5449,1.4567
0.6625,1.7871,0.4611,1.4434,0.3984
0.4611,1.4434,-0.0968,0.5449,1.0584
0.6625,1.7871,0.2855,1.1319,0.756
0.2855,1.1319,-0.0968,0.5449,0.7007
0.6625,1.7871,0.0405,0.7716,1.1916
0.0405,0.7716,-0.0968,0.5449,0.2651
0.6625,1.7871,-0.0968,0.5449,1.4567
-1.0507,-0.6498,-0.1434,0.4054,1.4096
-1.0507,-0.6498,-1.0028,-0.5949,0.0729
-1.0028,-0.5949,-0.1434,0.4054,1.3367
-1.0507,-0.6498,-0.7359,-0.2372,0.5192
-0.7359,-0.2372,-0.1434,0.4054,0.8904
-1.0507,-0.6498,-0.5002,0.0714,0.9075
-0.5002,0.0714,-0.1434,0.4054,0.5021
-1.0507,-0.6498,-0.3348,0.3044,1.1932
-0.3348,0.3044,-0.1434,0.4054,0.2164
-1.0507,-0.6498,-0.1434,0.4054,1.4096
0.4208,1.6224,-0.3965,-0.3117,2.1313
0.4208,1.6224,0.2696,1.3691,0.295
0.2696,1.3691,-0.3965,-0.3117,1.8363
0.4208,1.6224,0.1522,1.1504,0.5433
0.1522,1.1504,-0.3965,-0.3117,1.588
0.4208,1.6224,0.0282,0.9439,0.7842
0.0282,0.9439,-0.3965,-0.3117,1.3471
0.4208,1.6224,-0.0628,0.7637,0.986
-0.0628,0.7637,-0.3965,-0.3117,1.1453
0.4208,1.6224,-0.2105,0.4963,1.2914
-0.2105,0.4963,-0.3965,-0.3117,0.8398
0.4208,1.6224,-0.3094,0.3145,1.4985
-0.3094,0.3145,-0.3965,-0.3117,0.6328
0.4208,1.6224,-0.3435,0.0838,1.7317
-0.3435,0.0838,-0.3965,-0.3117,0.3996
0.4208,1.6224,-0.3968,-0.2565,2.0761
-0.3968,-0.2565,-0.3965,-0.3117,0.0551
0.4208,1.6224,-0.3965,-0.3117,2.1313
-1.2393,0.2228,-1.5965,-0.2992,0.6326
-1.2393,0.2228,-1.3832,-0.0004,0.2655
-1.3832,-0.0004,-1.5965,-0.2992,0.3671
-1.2393,0.2228,-1.5965,-0.2992,0.6326
0.5669,-0.6025,1.4414,-0.1377,0.9906
0.5669,-0.6025,0.853,-0.4609,0.3192
0.853,-0.4609,1.4414,-0.1377,0.6714
0.5669,-0.6025,1.1261,-0.3127,0.6299
1.1261,-0.3127,1.4414,-0.1377,0.3607
0.5669,-0.6025,1.332,-0.1969,0.8661
1.332,-0.1969,1.4414,-0.1377,0.1245
0.5669,-0.6025,1.4414,-0.1377,0.9906
0.4843,1.7482,1.1779,0.3155,1.7636
0.4843,1.7482,0.5145,1.5411,0.2093
0.5145,1.5411,1.1779,0.3155,1.5542
0.4843,1.7482,0.571,1.1119,0.6422
0.571,1.1119,1.1779,0.3155,1.1213
0.4843,1.7482,0.6097,0.8092,0.9474
0.6097,0.8092,1.1779,0.3155,0.8162
0.4843,1.7482,0.6336,0.6186,1.1395
0.6336,0.6186,1.1779,0.3155,0.6241
0.4843,1.7482,0.8951,0.4938,1.4292
0.8951,0.4938,1.1779,0.3155,0.3343
0.4843,1.7482,1.1779,0.3155,1.7636
1.7679,-0.0681,-0.3815,-0.7797,2.2645
1.7679,-0.0681,1.3745,-0.1901,0.4119
1.3745,-0.1901,-0.3815,-0.7797,1.8526
1.7679,-0.0681,0.9405,-0.3421,0.8717
0.9405,-0.3421,-0.3815,-0.7797,1.3928
1.7679,-0.0681,0.6976,-0.4283,1.1295
0.6976,-0.4283,-0.3815,-0.7797,1.135
1.7679,-0.0681,0.3885,-0.5228,1.4528
0.3885,-0.5228,-0.3815,-0.7797,0.8118
1.7679,-0.0681,0.0776,-0.6296,1.7815
0.0776,-0.6296,-0.3815,-0.7797,0.4831
1.7679,-0.0681,-0.1133,-0.6958,1.9835
-0.1133,-0.6958,-0.3815,-0.7797,0.2811
1.7679,-0.0681,-0.3815,-0.7797,2.2645
0.15,1.8375,-1.3214,-0.8708,3.0849
0.15,1.8375,0.0137,1.5664,0.3033
0.0137,1.5664,-1.3214,-0.8708,2.7815
0.15,1.8375,-0.1314,1.2799,0.6245
-0.1314,1.2799,-1.3214,-0.8708,2.4604
0.15,1.8375,-0.3069,0.9546,0.9942
-0.3069,0.9546,-1.3214,-0.8708,2.0907
0.15,1.8375,-0.4738,0.6371,1.3528
-0.4738,0.6371,-1.3214,-0.8708,1.7321
0.15,1.8375,-0.5478,0.5107,1.4993
-0.5478,0.5107,-1.3214,-0.8708,1.5856
0.15,1.8375,-0.6853,0.2138,1.8265
-0.6853,0.2138,-1.3214,-0.8708,1.2584
0.15,1.8375,-0.8159,-0.0237,2.0975
-0.8159,-0.0237,-1.3214,-0.8708,0.9874
0.15,1.8375,-0.9609,-0.294,2.4043
-0.9609,-0.294,-1.3214,-0.8708,0.6806
0.15,1.8375,-1.0668,-0.4797,2.6181
-1.0668,-0.4797,-1.3214,-0.8708,0.4668
0.15,1.8375,-1.2255,-0.7319,2.916
-1.2255,-0.7319,-1.3214,-0.8708,0.1689
0.15,1.8375,-1.3214,-0.8708,3.0849
-1.2525,-0.2092,1.4511,1.7108,3.3466
-1.2525,-0.2092,-1.1203,-0.0934,0.1758
-1.1203,-0.0934,1.4511,1.7108,3.1708
-1.2525,-0.2092,-0.9602,0.043,0.3861
-0.9602,0.043,1.4511,1.7108,2.9604
-1.2525,-0.2092,-0.7322,0.2285,0.68
-0.7322,0.2285,1.4511,1.7108,2.6665
-1.2525,-0.2092,-0.4807,0.4259,0.9997
-0.4807,0.4259,1.4511,1.7108,2.3468
-1.2525,-0.2092,-0.337,0.5468,1.1875
-0.337,0.5468,1.4511,1.7108,2.159
-1.2525,-0.2092,-0.2019,0.6596,1.3635
-0.2019,0.6596,1.4511,1.7108,1.983
-1.2525,-0.2092,0.1311,0.9535,1.8076
0.1311,0.9535,1.4511,1.7108,1.5389
-1.2525,-0.2092,0.4547,1.2405,2.2402
0.4547,1.2405,1.4511,1.7108,1.1064
-1.2525,-0.2092,0.5647,1.3281,2.3809
0.5647,1.3281,1.4511,1.7108,0.9657
-1.2525,-0.2092,0.8499,1.4503,2.6912
0.8499,1.4503,1.4511,1.7108,0.6554
-1.2525,-0.2092,1.0815,1.548,2.9425
1.0815,1.548,1.4511,1.7108,0.404
-1.2525,-0.2092,1.2708,1.6377,3.152
1.2708,1.6377,1.4511,1.7108,0.1946
-1.2525,-0.2092,1.4511,1.7108,3.3466
-1.6006,-0.3324,-0.3196,0.1818,1.3807
-1.6006,-0.3324,-1.3563,-0.2252,0.2667
-1.3563,-0.2252,-0.3196,0.1818,1.1139
-1.6006,-0.3324,-1.0635,-0.1176,0.5788
-1.0635,-0.1176,-0.3196,0.1818,0.8019
-1.6006,-0.3324,-0.7125,0.0188,0.9553
-0.7125,0.0188,-0.3196,0.1818,0.4254
-1.6006,-0.3324,-0.3196,0.1818,1.3807
1.8946,-0.6695,-1.529,0.4797,3.6917
1.8946,-0.6695,1.5928,-0.638,0.3034
1.5928,-0.638,-1.529,0.4797,3.3883
1.8946,-0.6695,1.2007,-0.5753,0.7006
1.2007,-0.5753,-1.529,0.4797,2.9912
1.8946,-0.6695,0.9851,-0.5424,0.9186
0.9851,-0.5424,-1.529,0.4797,2.7731
1.8946,-0.6695,0.5231,-0.4651,1.3871
0.5231,-0.4651,-1.529,0.4797,2.3047
1.8946,-0.6695,0.122,-0.3988,1.7936
0.122,-0.3988,-1.529,0.4797,1.8982
1.8946,-0.6695,-0.3178,-0.3184,2.2407
-0.3178,-0.3184,-1.529,0.4797,1.451
1.8946,-0.6695,-0.4663,-0.2191,2.4193
-0.4663,-0.2191,-1.529,0.4797,1.2724
1.8946,-0.6695,-0.7393,-0.029,2.752
-0.7393,-0.029,-1.529,0.4797,0.9398
1.8946,-0.6695,-1.0811,0.1955,3.1609
-1.0811,0.1955,-1.529,0.4797,0.5308
1.8946,-0.6695,-1.2502,0.292,3.3557
-1.2502,0.292,-1.529,0.4797,0.3361
1.8946,-0.6695,-1.529,0.4797,3.6917
-1.764,1.657,1.5847,-0.4446,4.0675
-1.764,1.657,-1.2986,1.5768,0.4722
-1.2986,1.5768,1.5847,-0.4446,3.5952
-1.764,1.657,-0.9275,1.5021,0.8508
-0.9275,1.5021,1.5847,-0.4446,3.2167
-1.764,1.657,-0.6659,1.4536,1.1168
-0.6659,1.4536,1.5847,-0.4446,2.9507
-1.764,1.657,-0.5738,1.4023,1.2222
-0.5738,1.4023,1.5847,-0.4446,2.8453
-1.764,1.657,-0.4766,1.3022,1.3618
-0.4766,1.3022,1.5847,-0.4446,2.7057
-1.764,1.657,-0.3216,1.1608,1.5715
-0.3216,1.1608,1.5847,-0.4446,2.4959
-1.764,1.657,-0.2484,1.105,1.6636
-0.2484,1.105,1.5847,-0.4446,2.4039
-1.764,1.657,-0.0551,0.9259,1.9271
-0.0551,0.9259,1.5847,-0.4446,2.1404
-1.764,1.657,0.2134,0.6865,2.2869
0.2134,0.6865,1.5847,-0.4446,1.7806
-1.764,1.657,0.2616,0.6562,2.3438
0.2616,0.6562,1.5847,-0.4446,1.7237
-1.764,1.657,0.4717,0.5101,2.5997
0.4717,0.5101,1.5847,-0.4446,1.4678
-1.764,1.657,0.6608,0.3457,2.8503
0.6608,0.3457,1.5847,-0.4446,1.2172
-1.764,1.657,0.9001,0.1231,3.1771
0.9001,0.1231,1.5847,-0.4446,0.8904
-1.764,1.657,1.1877,-0.1332,3.5623
1.1877,-0.1332,1.5847,-0.4446,0.5052
-1.764,1.657,1.3189,-0.2514,3.7389
1.3189,-0.2514,1.5847,-0.4446,0.3286
-1.764,1.657,1.5847,-0.4446,4.0675
-1.9832,-0.9352,-0.9471,0.1417,1.4946
-1.9832,-0.9352,-1.7677,-0.7198,0.3047
-1.7677,-0.7198,-0.9471,0.1417,1.1899
-1.9832,-0.9352,-1.5238,-0.4663,0.6565
-1.5238,-0.4663,-0.9471,0.1417,0.8381
-1.9832,-0.9352,-1.2497,-0.1686,1.0611
-1.2497,-0.1686,-0.9471,0.1417,0.4335
-1.9832,-0.9352,-0.9471,0.1417,1.4946
1.9563,1.6833,-0.4856,-0.6121,3.4796
1.9563,1.6833,1.7249,1.2521,0.4893
1.7249,1.2521,-0.4856,-0.6121,2.9903
1.9563,1.6833,1.609,1.0441,0.7275
1.609,1.0441,-0.4856,-0.6121,2.7521
1.9563,1.6833,1.4194,0.7007,1.1197
1.4194,0.7007,-0.4856,-0.6121,2.3599
1.9563,1.6833,1.2473,0.5117,1.3753
1.2473,0.5117,-0.4856,-0.6121,2.1043
1.9563,1.6833,0.9812,0.2885,1.7226
0.9812,0.2885,-0.4856,-0.6121,1.757
1.9563,1.6833,0.7627,0.0822,2.0231
0.7627,0.0822,-0.4856,-0.6121,1.4565
1.9563,1.6833,0.6198,-0.0666,2.2295
0.6198,-0.0666,-0.4856,-0.6121,1.2501
1.9563,1.6833,0.3694,-0.2801,2.5585
0.3694,-0.2801,-0.4856,-0.6121,0.9211
1.9563,1.6833,0.0568,-0.4457,2.9123
0.0568,-0.4457,-0.4856,-0.6121,0.5673
1.9563,1.6833,-0.2519,-0.5418,3.2356
-0.2519,-0.5418,-0.4856,-0.6121,0.244
1.9563,1.6833,-0.4856,-0.6121,3.4796
1.3477,1.8039,-1.2058,-0.1895,3.2469
1.3477,1.8039,1.1018,1.6533,0.2884
1.1018,1.6533,-1.2058,-0.1895,2.9585
1.3477,1.8039,0.7755,1.4524,0.6716
0.7755,1.4524,-1.2058,-0.1895,2.5753
1.3477,1.8039,0.5818,1.3236,0.9042
0.5818,1.3236,-1.2058,-0.1895,2.3427
1.3477,1.8039,0.4118,1.1766,1.1289
